question,question_text,Form
Q1,The gold (Au) prospect “R” Zone falls within which claim block of the High Lake Prospect?,Form 2
Q2,Which mining tile(s) of Agnico Eagle LaRonde Property shares border with the mining tile consisting LZ5 Portal?,Form 2
Q3,Which DOE uranium lease tract shares the longest border with Slick Rock Project?,Form 2
Q4,How many unique assessment file reference areas intersect the boundary of the Wesley Lithium Property?,Form 2
Q5,How many claim blocks of Capstone Mining Concession does the northern border of Resource Limit pass through?,Form 2
Q6,The Maria Teresa mine lies on the border between the metallogenic belt represented by roman numeral XI and which other metallogenic belt? Give the full name of the belt.,Form 2
Q7,What is the orientation of La Pista in relation to population center (centro poblado) Bonanza within the Bonanza concession area?,Form 2
Q8,Which project area of MON Concession boundary has the most drill hole collar?,Form 2
Q9,Which feature on the infrastructure map corresponds to Existing Component 60 of the Santander project?,Form 2
Q10,What is the maximum horizontal distance of the overlapped mineralized zone 101 and 102 of SW Deposit?,Form 2
Q11,Which Original Agreement regions of the Windfall Lake Property share the longest boundary with the Urban-Duke Property within the Urban-Barry Greenstone Belt?,Form 2
Q12,Geordie Deposit of Marthon Project property is located closest to which company's property?,Form 2
Q13,What is the shortest straight line distance from Eden Project to Eden 2 Claim?,Form 2
Q14,Which claim block shares border with 9 different claim block in Claim LAN?,Form 2
Q15,Which 1996 drill collar is located on the boundary of claim block 1069754 within the BAM property?,Form 2
Q16,What is the dominant geology of the Yaramoko Mining Lease?,Form 2
Q17,Which vein zone within the Sonoro concession area is located closest to the mining claim that contains the Cerro Prieto Mine?,Form 2
Q18,What is the shortest straight-line distance between the Sudbury Mining Claim S 470253 and the nearest freehold property?,Form 2
Q19,The Lekcin claim block that contains the Swede showing partially shares a border with the claim block of which tenure?,Form 2
Q20,What is the position of Coronation N in relation to Trimbles in Hyde-Macraes Shear Zone,Form 2
Q21,What is the position of the New 2B2 Pegmatite relative to Pegmatite #2 within the Raleigh Lake Project claim boundary?,Form 2
Q22,How many diamond drill holes (DDH) were completed by SRG Mining within soil-covered areas of the Lola Graphite Project?,Form 2
Q23,Identify the Federally Managed Mining Leases in Indin Lake Gold Property. These areas corresponds to which labeled areas. Give just the years. The labels are currently in form DATE NAME.,Form 2
Q24,How many Asanko tenement blocks does the Haul Road intersect?,Form 2
Q25,What is the position of Stream 3 catch basin in relation to stream catch 2 basin?,Form 2
Q26,Which Trailbreaker claim block within the Atsutla Gold Project contains site verification sample 612358?,Form 2
Q27,What is the shortest distance between the largest follow-up area within the NHK property and the property's boundary?,Form 2
Q28,Which claim block(s) of the UEX Christie Lake Project are crossed by the power line?,Form 2
Q29,What is the total length of the border shared by the Denovo - Edgecreek block and the adjacent Pat - Argus - JM block?,Form 2
Q30,Which 2023 Resource Pit Crest of Los Reyes consist of the Metallurgical Test Drill Hole that is located farthest South?,Form 2
